,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
629,"11963 Woodgrove Ave, Delta, BC",3,2,1988 sqft,,4,"$3,896",1984,R2809095,Residential,Yes,,$704,09/10/2023,"$1,350,000",22/08/2023,"$1,399,900",Single Family Residence
630,"8005 108 St, Delta, BC",5,3,2201 sqft,,6,"$4,272",1986,R2820893,Residential,Yes,,$576,08/10/2023,"$1,300,000",02/10/2023,"$1,269,900",Single Family Residence
631,"282C - 8635 120 St, Delta, BC",2,1,926 sqft,,1,"$1,138",1972,R2821016,Residential,No,,$463,08/10/2023,"$440,000",02/10/2023,"$429,000",Apartment/Condominium
632,"10660 Santa Monica Dr, Delta, BC",4,2,2444 sqft,,2,"$3,742",1973,R2820887,Residential,No,,$450,08/10/2023,"$1,035,000",04/10/2023,"$1,100,000",Single Family Residence
633,"8378 114 St, Delta, BC",4,2,2024 sqft,,5,"$4,001",1972,R2820735,Residential,No,,$642,07/10/2023,"$1,228,000",27/09/2023,"$1,299,999",Single Family Residence
634,"504 - 6960 Nicholson Rd, Delta, BC",2,2,1047 sqft,,2,"$2,063",2021,R2808639,Residential,Yes,,$724,06/10/2023,"$740,000",21/08/2023,"$758,800",Apartment/Condominium
635,"929 50 St, Delta, BC",3,2,1873 sqft,,4,"$4,678",1985,R2821779,Residential,Yes,,$730,06/10/2023,"$1,365,000",03/10/2023,"$1,369,000",Single Family Residence
636,"10567 Harrogate Dr, Delta, BC",5,3,3619 sqft,,6,"$5,054",1989,R2820963,Residential,Yes,,$490,06/10/2023,"$1,730,000",02/10/2023,"$1,775,000",Single Family Residence
637,"501 - 11901 89a Ave, Delta, BC",3,1,1117 sqft,,1,"$1,794",1971,R2816503,Residential,No,,$536,05/10/2023,"$530,000",12/09/2023,"$599,000",Townhouse
638,"8428 Centre St, Delta, BC",7,7,3771 sqft,,6,"$4,125",2022,R2786380,Residential,Yes,,$580,05/10/2023,"$2,120,000",07/06/2023,"$2,188,888",Single Family Residence
639,"42 - 3459 River Rd W, Delta, BC",3,2,1709 sqft,,2,"$2,500",2010,R2799592,Residential,Yes,,$760,05/10/2023,"$1,250,000",17/07/2023,"$1,299,000",Single Family Residence
640,"6141 Brodie Rd, Delta, BC",4,3,3142 sqft,,4,"$5,052",1990,R2795780,Residential,Yes,,$540,02/10/2023,"$1,640,000",05/07/2023,"$1,699,000",Single Family Residence
641,"5054 Massey Dr, Delta, BC",5,2,2160 sqft,,5,"$4,668",1963,R2803830,Residential,No,,$648,02/10/2023,"$1,330,000",01/08/2023,"$1,399,900",Single Family Residence
642,"302 - 1153 54a St, Delta, BC",2,2,1188 sqft,,1,"$1,796",1992,R2812726,Residential,Yes,,$563,02/10/2023,"$652,000",05/09/2023,"$669,000",Apartment/Condominium
643,"4410 44 B Ave, Delta, BC",4,2,2256 sqft,,4,"$4,356",1971,R2820086,Residential,No,,$664,02/10/2023,"$1,515,000",26/09/2023,"$1,499,000",Single Family Residence
644,"11135 72a Ave, Delta, BC",4,1,2128 sqft,,10,"$5,017",1970,R2820443,Residential,No,,$704,01/10/2023,"$1,410,000",27/09/2023,"$1,499,000",Single Family Residence
645,"1 - 11952 64 Ave, Delta, BC",3,2,1487 sqft,,1,"$1,732",1993,R2815846,Residential,Yes,,$537,01/10/2023,"$844,000",14/09/2023,"$799,999",Townhouse
646,"5 - 5510 Admiral Way, Delta, BC",4,3,1973 sqft,,2,"$4,150",2016,R2818691,Residential,Yes,,$648,01/10/2023,"$1,260,000",24/09/2023,"$1,280,000",Townhouse
647,"222A - 8635 120 St, Delta, BC",2,1,843 sqft,,1,"$1,062",1972,R2820198,Residential,No,,$504,30/09/2023,"$424,900",27/09/2023,"$424,900",Apartment/Condominium
648,"8133 112a St, Delta, BC",6,2,2060 sqft,,5,"$4,559",1960,R2814223,Residential,No,,$618,-,-,08/05/2024,"$1,499,900",Single Family Residence
649,"407 - 1315 56 St, Delta, BC",2,2,930 sqft,,1,"$2,170",2007,R2817871,Residential,Yes,,$751,29/09/2023,"$681,500",21/09/2023,"$699,000",Apartment/Condominium
