,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
124,Townhouse,"$3,071",1440 sqft,Yes,$486,R2603324,,Residential,2016,,"26 - 11305 240 St, Maple Ridge, BC",2,3,2,19/07/2021,"$699,900",31/07/2021,"$700,000"
125,Townhouse,"$2,658",1133 sqft,Yes,$555,R2603742,,Residential,2014,,"22 - 10151 240 St, Maple Ridge, BC",2,2,2,20/07/2021,"$629,900",31/07/2021,"$635,000"
126,Single Family Residence,"$5,600",3998 sqft,Yes,$325,R2583321,,Residential,2007,,"10619 Jackson Rd, Maple Ridge, BC",4,6,6,18/05/2021,"$1,299,999",29/07/2021,"$1,295,000"
127,Single Family Residence,"$1,389",2261 sqft,Yes,$685,R2600587,,Residential,2020,,"14040 Mier Dr, Maple Ridge, BC",2,3,0,08/07/2021,"$1,550,000",04/08/2021,"$1,428,571"
128,Townhouse,"$3,960",1722 sqft,Yes,$522,R2607401,,Residential,2011,,"81 - 24185 106b Ave, Maple Ridge, BC",2,3,2,03/08/2021,"$899,900",04/08/2021,"$900,000"
129,Apartment/Condominium,"$2,436",1065 sqft,Yes,$464,R2606280,,Residential,2007,,"213 - 22150 Dewdney Trunk Rd, Maple Ridge, BC",2,2,1,02/08/2021,"$495,000",04/08/2021,"$500,000"
130,Single Family Residence,"$5,012",1800 sqft,No,$544,R2845965,,Residential,1935,,"11641 212 St, Maple Ridge, BC",1,3,6,31/01/2024,"$979,999",-,Not Sold Yet
131,Apartment/Condominium,"$2,649",1192 sqft,Yes,$393,R2601089,,Residential,1999,,"602 - 12148 224 St, Maple Ridge, BC",2,2,1,11/07/2021,"$469,000",05/08/2021,"$459,000"
132,Single Family Residence,"$4,730",1333 sqft,Yes,$726,R2606979,,Residential,1991,,"20655 River Rd W, Maple Ridge, BC",2,3,4,02/08/2021,"$969,000",05/08/2021,"$950,000"
133,Townhouse,"$3,755",2184 sqft,Yes,$365,R2605060,,Residential,2016,,"30 - 23651 132 Ave, Maple Ridge, BC",3,3,2,25/07/2021,"$799,000",04/08/2021,"$830,000"
134,Apartment/Condominium,"$4,498",2014 sqft,Yes,$491,R2515780,,Residential,2017,,"408 - 12367 224 St, Maple Ridge, BC",2,2,2,05/11/2020,"$989,000",04/08/2021,"$989,000"
135,Apartment/Condominium,,1292 sqft,Yes,$545,R2605569,,Residential,2022,,"302 - 11865 227 St, Maple Ridge, BC",2,2,1,26/07/2021,"$704,900",08/08/2021,"$704,900"
